Student Country,Type of Answer,Question Level,Topic,Subtopic
Spain,0,Basic,Differentiation,Derivatives
Lithuania,1,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Italy,1,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,1,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,1,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Italy,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Italy,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,1,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,1,Basic,Real Functions of a single variable,Limits and Continuity
Italy,0,Basic,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,0,Basic,Real Functions of a single variable,Limits and Continuity
Portugal,0,Basic,Real Functions of a single variable,Limits and Continuity
Portugal,1,Advanced,Real Functions of a single variable,"Domain, Image and Graphics"
Portugal,0,Advanced,Real Functions of a single variable,Limits and Continuity
Portugal,1,Advanced,Real Functions of a single variable,Limits and Continuity
Portugal,0,Advanced,Real Functions of a single variable,Limits and Continuity
Portugal,0,Advanced,Real Functions of a single variable,Limits and Continuity
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Italy,0,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Portugal,0,Basic,Linear Algebra,Linear Systems
Portugal,1,Basic,Linear Algebra,Linear Systems
Italy,1,Basic,Linear Algebra,Linear Systems
Russian Federation,1,Basic,Linear Algebra,Linear Systems
Lithuania,0,Basic,Differentiation,Derivatives
Lithuania,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Italy,1,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Lithuania,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Romania,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Spain,0,Basic,Differentiation,Derivatives
Lithuania,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Italy,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Italy,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Lithuania,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Romania,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,1,Basic,Differentiation,Derivatives
Portugal,0,Basic,Differentiation,Derivatives
Portugal,0,Advanced,Differentiation,Derivatives
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Romania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Romania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Italy,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Portugal,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,1,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Basic,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,1,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Russian Federation,0,Advanced,Fundamental Mathematics,"Algebraic expressions, Equations, and Inequalities"
Lithuania,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Italy,1,Basic,Linear Algebra,Matrices and Determinants
Ireland,1,Basic,Linear Algebra,Matrices and Determinants
Ireland,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Advanced,Linear Algebra,Matrices and Determinants
Lithuania,0,Basic,Linear Algebra,Matrices and Determinants
Lithuania,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Portugal,0,Basic,Linear Algebra,Matrices and Determinants
Portugal,1,Basic,Linear Algebra,Matrices and Determinants
Lithuania,1,Basic,Linear Algebra,Matrices and Determinants
Italy,0,Basic,Linear Algebra,Matrices and Determinants
Ireland,1,Basic,Linear Algebra,Matrices and Determinants
Ireland,0,Basic,Linear Algebra,Matrices and Determinants
Ireland,0,Basic,Linear Algebra,Matrices and Determinants
Lithuania,0,Advanced,Linear Algebra,Matrices and Determinants
