MT_196,MT_279,MT_362,MT_208,MT_228,MT_194,MT_220,MT_241,MT_163,MT_216,MT_276,MT_161,MT_191,MT_323,MT_213,MT_218,MT_328,MT_166,MT_314,MT_229,day_of_week,month,day_of_year,total_load
2224291.666666667,1294316.6666666665,0.0,703210.0840336134,541368.4210526316,290347.4576271187,277632.91139240505,268000.0,281370.9677419355,222774.08637873753,190914.25742574246,216361.11111111115,184805.75539568343,168613.6585365855,136485.90021691972,133689.9810964083,130525.92592592587,154490.8791208792,122511.23595505615,101089.64451313754,1,1,11,11429166.017517386
2206125.0,1290245.8333333328,0.0,682806.7226890756,549578.9473684211,280355.9322033899,278367.0886075949,247246.91358024685,261746.5437788019,215036.54485049835,185617.4257425741,214543.2098765432,179733.81294964024,168546.58536585368,132583.5140997831,134226.843100189,127251.85185185184,140415.8241758242,121134.83146067409,99179.28902627507,2,1,12,11261858.89543283
2184375.0,1237571.6666666665,0.0,669680.6722689075,530578.9473684211,284139.8305084746,282898.7341772152,235395.06172839503,254020.73732718892,209335.54817275752,181128.61386138605,213089.50617283955,182971.2230215827,168609.8780487806,131216.91973969634,131230.62381852552,122540.74074074069,139550.4395604396,119938.20224719097,100582.68933539413,3,1,13,11109296.072951084
2184000.0,1223561.666666667,0.0,681327.731092437,539736.8421052631,283258.47457627114,284797.46835443034,235728.39506172837,265430.87557603687,207767.44186046513,189431.98019801962,213376.54320987652,191863.30935251797,170641.70731707333,134297.18004338394,138914.9338374291,124214.81481481476,140922.08791208794,122011.23595505615,105340.0309119011,4,1,14,11204555.695976935
2169541.666666666,1257454.1666666667,0.0,687016.8067226891,594526.3157894738,283639.8305084746,271835.44303797465,228407.40740740742,260769.58525345626,208308.97009966776,189131.68316831673,206604.93827160497,190453.23741007192,171731.4634146343,135952.27765726676,136525.51984877128,127051.85185185182,140863.95604395604,119943.82022471903,105850.0772797527,5,1,15,11299991.934763657
2168666.6666666665,1245236.6666666665,0.0,673025.2100840337,544842.105263158,288118.64406779665,278481.0126582278,224814.8148148148,228970.04608294932,209003.32225913616,188142.27722772263,195006.17283950612,188697.8417266187,170039.02439024404,133242.95010845986,132090.7372400756,129222.22222222223,140613.84615384616,119449.4382022471,100996.90880989177,6,1,16,11088807.34780537
2183083.333333333,1245949.1666666665,0.0,692327.7310924369,556684.2105263158,301847.4576271186,282734.1772151899,235259.2592592592,260269.58525345623,210029.90033222592,179190.4950495049,205996.9135802469,184424.46043165462,186585.487804878,131969.63123644254,140211.7202268431,128199.99999999997,139531.75824175825,120971.91011235949,109174.65224111285,0,1,17,11262694.006059377
2211750.0,1251216.6666666667,0.0,681647.0588235294,550736.8421052631,294762.7118644068,276759.4936708861,231666.6666666667,263688.9400921659,214019.93355481734,174936.73267326734,207839.5061728395,189625.89928057548,197461.58536585362,136811.2798264642,140899.81096408315,130074.07407407403,146025.16483516485,122314.60674157298,98673.8794435858,1,1,18,11316524.173970371
2174041.666666667,1232455.8333333333,0.0,678529.4117647059,543631.5789473684,294966.10169491515,276810.1265822785,229160.49382716054,254188.94009216593,210036.54485049835,188317.72277227708,212280.8641975309,178014.38848920856,176643.41463414638,131078.0911062907,134941.3988657845,131599.99999999997,138307.69230769234,120769.66292134824,105511.59196290575,2,1,19,11130679.657394933
2193208.3333333335,1206023.3333333335,0.0,667310.924369748,585842.1052631581,291652.5423728814,274531.6455696203,225703.7037037037,250154.3778801844,205990.0332225914,191671.38613861366,210302.46913580247,182863.30935251797,186643.53658536595,130767.89587852496,132327.0321361059,127377.77777777775,135904.61538461543,120011.23595505611,98058.73261205561,3,1,20,11107234.842763886
2135125.0000000005,1116075.8333333333,0.0,644840.3361344538,537789.4736842104,283881.3559322034,272721.5189873417,224851.85185185185,252373.27188940096,205378.7375415283,181635.54455445535,206691.35802469135,178230.2158273381,166688.1707317074,134722.34273318874,132429.11153119092,126703.70370370374,133701.97802197805,118870.78651685384,98063.3693972179,4,1,21,10839872.671542712
2059791.6666666665,1066673.3333333333,0.0,647957.9831932774,501157.8947368421,269601.69491525425,273594.93670886074,220679.01234567896,250995.3917050692,201980.06644518272,189006.83168316822,189959.87654320983,172589.9280575539,188404.6341463414,134301.51843817788,130742.91115311904,124903.70370370366,131390.76923076928,119752.80898876398,101542.50386398766,5,1,22,10731073.748952975
2034749.9999999998,1124556.6666666665,0.0,642613.4453781513,545421.0526315789,264745.76271186443,268734.17721518985,222123.45679012345,224672.81105990784,200797.34219269105,188732.27722772266,178635.80246913576,168496.40287769778,183789.02439024387,130327.54880694144,129489.60302457467,124251.85185185181,128739.67032967035,116938.20224719089,94241.112828439,6,1,23,10647921.046792742
2044958.3333333333,1197176.6666666665,0.0,632554.6218487395,501684.2105263158,268694.91525423725,277329.11392405065,274777.77777777775,251193.54838709676,205106.3122923588,183826.8316831682,195092.59259259255,169553.95683453235,161542.19512195128,132778.74186550974,134317.5803402646,122800.0,129348.46153846156,120685.3932584269,95114.37403400308,0,1,24,10777280.814038236
2136708.3333333335,1211639.1666666667,0.0,633470.5882352941,507105.2631578947,274512.71186440677,282291.1392405063,294555.55555555556,250967.7419354839,202534.88372093023,188767.6237623761,205015.43209876542,169503.59712230216,188858.7804878048,136872.01735357917,131275.99243856335,126955.55555555553,128362.41758241763,121325.84269662914,95363.21483771251,1,1,25,10981081.924085194
2088291.6666666665,1188800.8333333333,0.0,643831.9327731093,498315.78947368416,280694.91525423725,269594.93670886074,251864.19753086416,256760.36866359442,199222.5913621262,182330.09900990085,206916.66666666666,172143.8848920863,188497.80487804877,128099.78308026031,129735.34971644609,124118.51851851851,128215.71428571435,119202.24719101118,100802.16383307577,2,1,26,10836511.04271394
2122874.9999999995,1258749.1666666665,0.0,646075.6302521009,498578.947368421,289368.64406779665,272936.7088607595,255802.46913580244,257732.71889400916,200478.40531561463,192163.56435643553,207882.71604938275,174050.35971223025,157664.268292683,124308.02603036874,135901.70132325141,124659.25925925926,128780.65934065936,118578.65168539315,97497.68160741885,3,1,27,10996213.711525172
2129041.6666666665,1271738.3333333335,0.0,664873.9495798319,512210.52631578944,287525.4237288136,266240.50632911397,239111.11111111112,262682.02764976956,204395.3488372093,192506.4356435642,215200.6172839506,182928.05755395684,181997.8048780488,132659.43600867683,133451.79584120985,127111.1111111111,129205.27472527475,118067.415730337,97488.40803709431,4,1,28,11104397.095668502
2148458.333333333,1300720.0000000002,0.0,673596.6386554622,508947.36842105264,282283.89830508473,275227.8481012658,244716.04938271607,256930.87557603692,205774.0863787376,195092.7722772276,201163.58024691357,182323.74100719418,180018.1707317073,138889.3709327549,135015.12287334594,130614.81481481477,132524.2857142858,119691.011235955,96853.16846986093,5,1,29,11218325.581101248
1965666.6666666663,1271751.6666666667,0.0,644000.0,491157.894736842,282457.6271186441,277620.2531645569,234950.6172839506,225228.11059907838,197983.38870431896,190325.54455445532,182638.8888888889,174553.95683453235,162801.34146341475,134967.46203904552,129402.64650283552,125585.18518518514,131530.43956043955,118938.20224719091,95058.73261205564,6,1,30,10734614.923914192
2010458.3333333335,1227388.333333333,0.0,640285.7142857143,496947.36842105264,279572.03389830515,266189.8734177215,236234.56790123452,252905.52995391708,200717.60797342192,191574.45544554444,194061.72839506168,175208.63309352516,152177.07317073183,135752.7114967462,128372.40075614369,122674.07407407406,129127.58241758242,120808.98876404486,92332.30293663063,0,1,31,10733603.426514784
2044833.3333333335,1219077.4999999995,0.0,652100.8403361344,486263.15789473685,281046.6101694915,262569.6202531646,245814.81481481477,256380.1843317973,202315.61461794018,201057.62376237608,198268.5185185185,190517.9856115108,155347.43902439033,138023.86117136662,129705.10396975424,124044.44444444447,130334.94505494507,119292.13483146061,94284.38948995365,1,2,32,10848995.593792114
2008958.3333333337,1228329.9999999998,0.0,645924.3697478992,494368.42105263163,283186.4406779661,260379.74683544302,264098.76543209876,263105.99078341015,206594.68438538208,189095.74257425728,200459.87654320986,195460.43165467624,159668.53658536592,133642.0824295011,130941.39886578446,121970.37037037036,128957.14285714287,117073.03370786503,96200.92735703246,2,2,33,10843374.109937808
2004333.3333333335,1254034.1666666667,0.0,656033.6134453783,504368.4210526316,288694.9152542373,265151.89873417723,268012.34567901236,257288.01843317968,196710.9634551495,187450.99009900977,205765.43209876542,191309.3525179856,182132.8048780488,131047.72234273318,137361.05860113422,124918.51851851848,128534.61538461539,113691.01123595494,97066.46058732612,3,2,34,10901976.07521002
1979958.333333333,1228329.1666666663,0.0,668630.2521008403,552210.5263157894,290194.91525423725,266164.5569620253,269987.65432098764,280135.9447004608,192857.14285714287,185529.9009900989,207231.48148148146,185352.51798561148,179580.85365853662,133340.56399132323,136064.2722117202,129437.037037037,134500.87912087914,118949.4382022471,96387.94435857808,4,2,35,11004284.767994719
2075583.3333333333,1264525.0,0.0,674008.4033613445,555210.5263157894,284902.54237288143,279848.10126582277,262901.23456790124,264884.79262672813,199139.53488372095,191073.86138613848,201000.0,179107.91366906473,186458.41463414635,139451.19305856834,136005.67107750472,130074.07407407404,132546.81318681323,116488.76404494369,96153.01391035554,5,2,36,11193072.837256987
1960666.666666667,1248750.8333333335,0.0,662084.0336134455,514789.47368421056,289805.0847457627,260544.30379746837,249148.14814814815,225843.31797235025,204700.99667774088,188989.20792079193,187570.98765432095,175021.5827338129,162554.87804878055,134186.55097613885,133294.89603024573,134096.29629629623,133968.13186813192,114140.44943820215,94897.99072642969,6,2,37,10795209.547852872
1891083.3333333335,1207730.0,0.0,658899.1596638656,515421.0526315788,286152.5423728814,268063.2911392405,250851.85185185185,246944.7004608295,208558.13953488372,184561.88118811868,193249.99999999997,175474.8201438848,162999.39024390248,137353.57917570503,129767.48582230622,127918.51851851848,132421.09890109894,114494.38202247176,97680.06182380216,0,2,38,10693414.68406227
1968833.3333333335,1218646.6666666665,0.0,654840.3361344539,506315.7894736841,294987.2881355933,273518.9873417722,253962.96296296295,252859.44700460832,211803.98671096342,191301.3861386137,208070.987654321,189978.417266187,162062.19512195128,136169.19739696317,134998.10964083177,124718.51851851847,135581.31868131872,118174.15730337068,89117.46522411129,1,2,39,10879954.987639604
2010833.3333333335,1253479.9999999998,0.0,665571.4285714286,517421.052631579,298694.9152542373,270886.0759493671,257827.16049382713,259110.59907834107,207445.1827242525,186750.5940594058,208472.22222222222,190575.5395683453,159042.92682926837,131744.03470715828,133657.84499054818,125874.07407407404,136256.48351648354,116808.98876404483,98063.36939721793,2,2,40,10972957.271869266
2013666.6666666667,1247252.4999999998,0.0,654806.7226890756,507684.2105263157,296305.0847457627,270873.41772151896,252938.27160493826,275271.8894009217,205986.71096345517,187876.33663366322,208709.87654320983,201820.14388489205,159736.46341463423,133928.41648590023,135759.92438563323,127103.70370370366,136623.7362637363,117904.49438202239,102732.61205564144,3,2,41,10941536.52007928
2048666.6666666665,1279592.5000000002,0.0,657302.5210084034,526631.5789473684,293457.6271186441,274417.7215189873,259876.54320987657,274089.8617511521,207252.49169435218,193121.28712871275,207055.55555555553,205834.53237410067,184975.0,139006.5075921909,142686.2003780718,132170.37037037036,137800.98901098903,119865.16853932576,106329.21174652239,4,2,42,11153240.555811107
2097708.3333333335,1301131.6666666667,0.0,664134.4537815127,530052.6315789473,293072.03389830503,272594.93670886074,255246.9135802469,264490.7834101383,206239.20265780733,187143.3663366335,202493.82716049382,183424.4604316547,162159.756097561,139195.22776572668,140793.9508506616,115214.81481481486,136466.15384615387,118623.59550561786,101061.82380216381,5,2,43,11170547.712696742
1949666.6666666667,1250342.5,0.0,649126.0504201681,539842.1052631579,313440.67796610174,261936.7088607595,251358.02469135803,223578.34101382486,211202.65780730895,183667.92079207906,186308.64197530865,176316.54676258995,179359.63414634144,136911.06290672452,132268.43100189033,129570.37037037036,139447.6923076923,116449.4382022471,97669.2426584235,6,2,44,10871075.003860265
2102500.0,1269797.5000000002,0.0,646226.8907563025,550894.7368421053,327042.372881356,257582.27848101273,250691.35802469135,243698.1566820277,217192.69102990034,196530.8910891088,200521.6049382716,179395.68345323738,187572.1951219512,139429.5010845987,139086.9565217391,132651.85185185185,137610.65934065936,114904.49438202231,104735.70324574958,0,2,45,11154650.002537759
2048791.6666666667,1223635.8333333335,0.0,662924.3697478991,545210.5263157896,318423.72881355934,271177.2151898734,252111.1111111111,240663.59447004608,206299.00332225914,185556.0396039603,204861.1111111111,172633.0935251798,176349.87804878052,138075.92190889374,132028.35538752365,127125.9259259259,142359.23076923078,116825.84269662909,105601.23647604333,1,2,46,10971212.387964174
2109750.0,1159205.833333333,0.0,645378.1512605041,550894.7368421053,305250.0,266721.5189873418,245160.4938271605,241725.80645161294,208438.53820598012,193742.7722772276,201009.25925925924,177000.0,157275.48780487807,135227.76572668113,129786.38941398864,124318.5185185185,137665.38461538465,119915.73033707855,106808.34621329213,2,2,47,10911948.738691954
2132541.666666667,1161435.0000000002,0.0,657294.1176470588,574263.1578947369,304258.4745762712,263164.55696202535,260864.19753086418,257145.1612903226,203930.23255813954,184971.98019801965,207765.43209876545,177510.79136690646,174098.65853658537,133266.81127982645,129444.23440453684,123296.29629629626,136590.76923076925,117634.83146067408,94299.84544049461,3,2,48,10991890.106066026
2202249.9999999995,1231500.8333333323,0.0,684605.0420168068,558210.5263157896,307093.22033898305,268658.2278481013,255259.2592592592,253751.15207373275,203511.62790697676,190633.66336633652,213219.13580246916,180625.89928057548,188895.3658536585,135867.67895878528,134748.5822306238,130333.33333333333,141904.3956043956,118387.64044943814,99335.39412673877,4,2,49,11288034.127121221
2242374.9999999995,1309272.5,0.0,709075.6302521009,567894.7368421053,307250.0,269835.44303797465,262345.6790123457,263246.5437788018,216229.2358803987,192712.97029702956,205425.9259259259,189834.53237410067,192350.73170731706,140475.0542299349,140591.68241965974,133696.2962962963,141667.47252747256,122505.61797752809,97616.69242658424,5,2,50,11573259.467482585
2135208.333333334,1283484.9999999998,0.0,672537.8151260505,539684.2105263158,325538.1355932203,265696.2025316456,261432.09876543208,230108.29493087556,207179.40199335548,186967.62376237608,194151.23456790124,178920.8633093525,163292.31707317082,135210.41214750544,130243.85633270319,132399.99999999997,142341.75824175825,116393.25842696617,96850.07727975272,6,2,51,11164864.970521016
2205500.0,1289753.3333333333,0.0,679025.2100840337,533105.2631578948,330466.10169491527,269113.9240506329,264740.74074074073,293099.07834101375,210647.8405315615,186661.58415841576,201858.024691358,186812.94964028773,163972.68292682938,139095.4446854663,139943.28922495275,130474.07407407403,145650.3296703297,121988.76404494373,107006.18238021641,0,2,52,11355990.329705888
2219583.333333333,1287478.3333333328,0.0,688252.1008403362,554473.6842105263,320669.4915254238,276886.0759493671,256728.39506172837,269447.004608295,214687.70764119597,187592.37623762368,209882.71604938273,204273.38129496397,168154.02439024393,141045.5531453362,136924.38563327034,133548.1481481481,148956.59340659346,120758.42696629204,104565.68778979903,1,2,53,11430685.291878052
2173375.0,1267603.3333333333,0.0,673176.4705882353,572000.0000000001,300258.4745762712,269392.4050632911,250345.6790123457,241048.3870967742,213843.85382059801,184530.09900990082,207098.7654320988,181453.2374100719,165449.268292683,137383.94793926246,137338.37429111532,129925.9259259259,142147.69230769234,118533.70786516843,103007.72797527048,2,2,54,11164263.23419479
2169250.0,1265120.833333333,0.0,665176.4705882353,571473.6842105263,291211.86440677964,267620.2531645569,251407.40740740736,241387.09677419352,204186.04651162797,196848.415841584,208382.71604938278,182388.48920863302,173434.3902439025,131986.98481561823,146752.36294896028,133259.2592592592,142125.49450549457,120095.50561797745,104326.12055641421,3,2,55,11183039.261727843
2199041.6666666665,1284517.4999999998,0.0,684756.3025210084,543789.4736842107,296639.83050847455,268177.2151898734,248493.82716049382,243253.45622119817,203461.79401993356,186944.85148514836,204648.14814814815,186438.84892086327,170863.780487805,137182.21258134494,150901.70132325144,147844.44444444447,144786.3736263737,121022.47191011232,96802.16383307571,4,2,56,11303341.697093422
2257833.333333333,1298344.1666666665,0.0,690521.0084033613,533315.7894736844,278999.99999999994,271924.0506329114,244493.82716049385,285163.5944700461,213345.5149501661,196999.50495049488,194768.51851851854,190532.3741007194,170278.53658536603,140945.77006507592,141744.80151228732,140977.77777777775,143399.12087912092,123016.85393258427,98191.65378670786,5,2,57,11464230.40996688
2116541.6666666665,1239202.4999999998,0.0,658025.2100840337,531157.8947368423,299000.00000000006,261746.83544303797,235432.09876543214,230652.07373271885,202478.40531561463,181028.81188118804,189842.59259259267,182122.3021582733,164731.09756097567,135097.61388286334,135533.0812854442,133274.07407407401,141150.3296703297,117651.68539325835,97907.26429675425,6,2,58,10957304.059076367
2041416.666666666,1164829.9999999998,0.0,636176.4705882353,514473.68421052635,291059.3220338983,263569.62025316455,236543.2098765432,271447.0046082949,218205.98006644525,172374.15841584155,192373.4567901234,175597.12230215824,158690.00000000003,133709.32754880693,132139.8865784499,128140.74074074072,136327.25274725276,113842.69662921339,102962.90571870173,0,2,59,10675929.275445944
2072458.3333333335,1171747.4999999995,0.0,628806.7226890756,514789.47368421056,267114.406779661,261620.25316455695,233938.2716049383,242960.8294930876,197671.096345515,174731.58415841585,194327.16049382716,174517.98561151072,163695.6097560976,130698.4815618221,132793.95085066164,125103.7037037037,147679.4505494506,117235.9550561797,94519.31993817621,1,3,60,10625505.647041434
2046500.0000000002,1155395.8333333328,0.0,636613.4453781513,483105.2631578947,270334.7457627118,255164.55696202532,233604.93827160497,239587.55760368667,194139.53488372097,173138.6138613861,194530.86419753087,190841.726618705,176316.82926829276,129401.3015184382,132612.4763705104,126540.74074074076,134913.73626373633,110668.53932584255,101429.67542503867,2,3,61,10537377.648734884
2058624.9999999995,1175315.8333333333,0.0,637857.1428571428,498842.10526315786,272118.6440677966,260734.17721518988,231999.9999999999,247940.09216589862,198295.68106312293,171038.51485148512,200953.7037037037,172417.26618705035,165388.2926829268,132505.42299349236,138338.3742911153,126333.33333333331,133983.29670329677,112241.57303370777,101581.14374034006,3,3,62,10621093.592424074
2106375.0,1201620.833333333,0.0,643991.5966386555,499210.52631578944,265199.1525423729,262417.7215189874,218604.93827160494,248315.6682027649,195013.28903654483,182694.85148514845,204521.6049382716,174784.17266187049,174807.07317073178,134223.42733188727,133338.37429111532,129711.1111111111,137633.29670329674,112601.12359550547,104375.57959814533,4,3,63,10757323.624516238
2199375.0,1242226.6666666663,0.0,663949.5798319328,503052.63157894736,266449.15254237293,273126.582278481,219827.16049382716,263852.53456221195,199202.657807309,180447.42574257412,195287.03703703702,178755.3956834532,171038.90243902444,138383.9479392625,135459.35727788278,132214.8148148148,135982.08791208794,119438.20224719097,104221.0200927357,5,3,64,11047983.03919339
2064791.6666666667,1256707.4999999998,0.0,672781.5126050421,509736.8421052631,277961.8644067797,264227.8481012658,221716.04938271604,228274.19354838712,195225.91362126247,187913.96039603945,193898.1481481481,177230.21582733808,179797.9268292684,134312.3644251627,130472.58979206048,132207.4074074074,136747.03296703298,118292.1348314606,105653.78670788252,6,3,65,10829566.692384228
2114875.0,1264150.833333333,0.0,662689.0756302521,537894.7368421053,299237.2881355932,268746.83544303797,228296.29629629635,248470.04608294927,196308.97009966781,187529.5049504949,197558.64197530865,177100.7194244604,169674.02439024395,137349.2407809111,141544.42344045368,129451.85185185184,138563.95604395607,117404.49438202236,101765.06955177746,0,3,66,10984755.183191624
2110833.3333333335,1268506.666666667,0.0,650319.3277310925,511210.5263157895,284677.9661016949,260417.72151898735,226456.7901234568,213191.24423963137,199269.10299003325,183744.75247524743,204327.16049382713,178129.49640287773,188215.60975609752,131609.5444685466,135954.6313799622,129185.18518518515,141255.16483516488,120966.29213483141,104132.92117465226,1,3,67,10925511.775664296
2161791.666666667,1204207.4999999998,0.0,645630.2521008403,512578.947368421,298716.1016949153,267278.4810126583,226320.98765432095,245834.10138248853,197524.91694352162,180385.84158415836,198962.96296296295,181906.47482014386,177858.2926829269,128976.13882863343,130604.9149338374,125570.37037037035,141384.17582417588,114140.44943820214,105205.56414219468,2,3,68,10887105.361418206
2251541.666666666,1252448.333333333,0.0,651689.0756302521,511263.15789473685,306411.0169491526,268822.7848101265,230333.33333333328,234688.9400921659,201255.8139534884,196476.03960396026,200327.16049382713,179776.97841726622,174930.0000000001,130997.83080260304,134181.4744801512,132311.1111111111,147247.80219780223,114033.7078651684,104833.07573415765,3,3,69,11058028.596807431
2222166.666666666,1269847.5,0.0,658184.8739495799,504578.94736842107,300334.74576271186,273468.35443037975,240851.85185185188,237857.14285714293,201488.37209302327,179598.11881188114,206682.09876543214,182366.90647482013,172477.43902439033,132327.5488069414,133627.5992438563,132192.59259259258,150164.28571428574,117589.88764044935,104831.53013910353,4,3,70,11092922.464810582
2273625.0,1285080.0,0.0,668352.9411764706,501315.7894736842,281016.9491525424,264367.0886075949,236419.75308641972,264306.4516129032,200378.73754152824,181901.18811881175,196793.20987654326,184971.22302158273,178996.95121951232,137622.55965292844,136283.5538752363,135244.44444444447,152241.97802197805,119325.84269662909,104551.77743431224,5,3,71,11227560.225910107
2103750.0,1295987.5000000002,0.0,646504.2016806722,510000.00000000006,304546.61016949156,261962.0253164557,224999.99999999997,232112.90322580645,202621.26245847176,182163.46534653456,187904.32098765427,180395.68345323743,176487.56097560984,133611.71366594365,134281.66351606807,133022.22222222216,143827.47252747254,117033.70786516844,96106.64605873261,6,3,72,10895314.642629081
2166125.0,1224259.9999999995,0.0,640563.025210084,505263.15789473685,308216.10169491527,266594.9367088607,223308.64197530862,237774.1935483871,195388.70431893686,190778.71287128708,191966.04938271604,180633.09352517984,175710.24390243908,128843.8177874187,130926.27599243853,131340.7407407407,143314.94505494507,117016.85393258414,103709.42812982999,0,3,73,10884970.052710023
2200916.6666666665,1271679.166666666,0.0,631815.1260504202,511894.7368421052,311576.2711864407,263392.40506329114,230555.55555555553,227228.11059907835,198395.34883720934,190516.6336633662,192490.74074074073,178453.23741007195,170277.68292682935,139034.70715835143,136030.24574669183,141059.25925925924,150077.69230769237,117365.1685393257,103704.79134466767,1,3,74,11033973.493653374
2155125.0000000005,1206889.1666666667,0.0,645042.0168067227,505315.7894736843,313944.9152542373,259708.8607594937,229666.6666666667,234350.2304147466,198485.04983388705,175086.03960396032,209651.23456790124,181136.69064748197,164117.43902439036,135132.32104121475,132234.40453686198,129237.03703703701,139795.3846153846,109550.56179775263,106605.87326120555,2,3,75,10842892.620417416
2171541.666666667,1218530.8333333335,0.0,631537.8151260504,520473.68421052635,318177.9661016949,260873.41772151898,222679.012345679,239926.26728110597,196411.9601328904,177133.06930693067,208271.6049382716,203381.29496402878,168580.00000000015,130392.62472885035,127697.54253308126,129451.85185185185,137314.06593406596,112382.02247190995,102802.16383307573,3,3,76,10900348.931352925
2259166.6666666665,1250775.833333333,0.0,653403.3613445378,527052.6315789474,316288.1355932203,267075.9493670886,224493.82716049382,233036.866359447,197691.02990033224,178902.37623762366,211932.0987654321,188870.50359712227,173950.85365853668,132796.09544468546,136879.01701323251,136029.62962962958,138501.20879120883,116314.60674157292,108143.74034003087,4,3,77,11112449.17700339
2319124.9999999995,1313663.333333333,0.0,681252.1008403362,513947.36842105264,296529.6610169491,270088.60759493674,230185.18518518514,266949.3087557604,200528.23920265786,189193.3663366335,205570.98765432098,188863.309352518,179592.43902439036,137798.26464208245,140296.78638941402,138214.8148148148,138257.6923076923,120640.44943820218,107400.30911901084,5,3,78,11387761.109118462
2183250.0,1303215.833333333,0.0,677201.680672269,524526.3157894737,329898.3050847458,269101.26582278486,229419.75308641975,235377.8801843318,194332.22591362125,189188.514851485,192969.1358024691,189107.9136690647,181477.4390243903,135611.71366594362,136610.58601134218,144748.14814814812,142133.73626373627,114359.55056179765,108738.79443585784,6,3,79,11167266.06753198
2294166.6666666665,1307604.166666666,0.0,655966.3865546219,528157.8947368423,336758.4745762712,276101.2658227848,230493.8271604938,246018.43317972354,205681.06312292357,186404.15841584146,196861.11111111112,183841.726618705,178232.68292682938,137403.4707158351,139965.97353497162,137607.40740740736,138000.87912087917,115511.23595505605,107913.44667697063,0,3,80,11259308.784022374
2277458.3333333335,1364141.666666666,0.0,659075.6302521009,532473.6842105264,341932.2033898305,279443.03797468357,226049.38271604938,246336.40552995395,199325.5813953489,185970.59405940582,211842.59259259253,184366.90647482013,178015.85365853674,136444.6854663774,143455.57655954632,135525.9259259259,137815.16483516485,117050.5617977527,108890.26275115919,1,3,81,11344915.561126795
