platform_adi,kitle_fonlamasi_turu,kategori,fon_sekli,proje_sahibi_cinsiyet,kac_proje_destekledi,kac_projeye_abone,kac_projenin_sahibi,kac_proje_takiminda,konum,bolge,yil,gun_sayisi,tanitim_videosu,video_uzunlugu,gorsel_sayisi,sss,guncellemeler,yorumlar,destekci_sayisi,odul_sayisi,ekip_kisi_sayisi,web_sitesi,sosyal_medya,sm_sayisi,sm_takipci,etiket_sayisi,icerik_kelime_sayisi,hedef_miktari,basari_durumu
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,1,0,1,0,istanbul,marmara,2017,45,var,115,16,0,0,0,19,8,8,var,var,3,7285,0,389,15000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,1,belirsiz,belirsiz,2017,60,yok,0,9,0,0,0,34,6,3,yok,yok,0,0,0,412,80000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,2,0,1,1,izmir,ege,2018,30,var,133,18,0,0,0,47,8,1,yok,yok,0,0,3,482,150000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,1,0,ankara,iç anadolu,2019,60,yok,0,5,0,0,0,29,8,5,var,var,4,1615,5,231,100000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2018,62,var,215,6,0,2,0,23,9,4,var,var,3,279,4,1234,40000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,düzce,karadeniz,2015,60,var,271,13,0,1,0,11,6,1,var,var,1,720,0,300,11000,başarısız
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,3,0,istanbul,marmara,2015,90,var,52,3,0,0,0,5,4,1,yok,var,3,3352,0,309,12500,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2019,60,yok,0,2,0,0,0,4,5,1,var,var,2,373,4,1037,10000,başarısız
fongogo,ödül,diğer,hepsi kalsın,erkek,0,0,1,0,ankara,iç anadolu,2014,90,var,90,4,0,0,0,6,7,3,yok,var,2,10116,0,322,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,1,0,1,0,mardin,güneydoğu,2015,15,yok,0,9,0,0,0,4,7,1,yok,var,2,2,0,323,4000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,ankara,iç anadolu,2015,12,yok,0,2,0,0,0,53,5,1,var,yok,0,0,0,444,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,1,belirsiz,belirsiz,2015,60,yok,0,4,0,0,0,9,6,3,yok,yok,0,0,0,102,45000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2014,60,yok,0,4,0,0,0,2,5,1,yok,yok,0,0,0,197,5000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2017,60,yok,0,9,0,0,0,3,6,2,yok,yok,0,0,0,310,5000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,trabzon,karadeniz,2014,60,yok,0,10,0,0,0,1,3,1,var,yok,0,0,0,311,5000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2019,60,var,12,1,0,0,0,1,3,1,yok,var,1,4758,0,47,1000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,ankara,iç anadolu,2020,60,yok,0,21,0,0,0,3,9,2,var,var,2,622,5,904,32000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2014,60,yok,0,18,0,0,0,1,10,2,var,var,2,366,0,344,3000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,3,0,1,0,istanbul,marmara,2014,60,yok,0,12,0,1,0,4,5,1,yok,var,3,8191,0,247,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,2,0,1,0,antalya,akdeniz,2019,10,yok,0,1,0,0,0,4,6,1,yok,yok,0,0,0,167,50000,başarısız
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,2,0,çanakkale,marmara,2017,30,var,120,3,0,0,0,0,3,2,yok,var,1,14897,0,180,25000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2019,60,yok,0,10,0,0,0,1,8,2,var,var,2,7,0,407,30000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2020,60,var,43,2,0,0,0,0,7,3,var,var,4,246,5,523,75000,başarısız
fongogo,ödül,diğer,hepsi kalsın,kadın,0,0,1,0,istanbul,marmara,2020,30,yok,0,2,0,0,0,0,5,1,yok,yok,0,0,0,158,20000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,izmir,ege,2020,50,yok,0,5,0,1,0,0,8,1,yok,yok,0,0,3,346,5000,başarısız
fongogo,ödül,diğer,hepsi kalsın,kadın,0,0,1,0,izmir,ege,2018,90,var,105,2,0,0,0,1,7,2,var,yok,0,0,5,374,30000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,sivas,iç anadolu,2015,30,yok,0,0,0,0,0,0,7,1,yok,yok,0,0,0,330,4000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2019,60,var,42,8,0,0,0,0,3,2,var,var,2,484,4,176,20000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2014,60,yok,0,6,0,0,0,1,5,2,yok,var,3,2508,0,233,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,antalya,akdeniz,2014,60,var,222,10,0,0,0,0,6,1,yok,yok,0,0,0,271,20000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,konya,iç anadolu,2020,60,var,99,2,6,0,0,3,7,5,var,var,3,194,0,582,125000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,eskişehir,iç anadolu,2020,21,var,109,16,0,0,0,1,6,2,var,yok,0,0,0,890,15000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,eskişehir,iç anadolu,2019,60,yok,0,2,0,0,0,0,9,1,yok,yok,0,0,5,423,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2019,60,var,202,13,0,0,0,0,6,1,var,var,4,162,0,480,15000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,bursa,marmara,2019,60,var,33,2,0,0,0,0,5,1,yok,yok,0,0,0,114,1000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2020,60,var,112,5,2,0,0,0,9,1,yok,yok,0,0,3,103,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,kocaeli,marmara,2019,60,var,193,4,0,0,0,0,8,1,yok,yok,0,0,0,482,10000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,bolu,karadeniz,2019,60,var,385,4,0,0,0,0,3,1,yok,var,2,238,5,147,2000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2019,60,yok,0,6,0,0,0,5,7,1,yok,yok,0,0,5,699,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,sakarya,marmara,2019,60,var,282,0,0,0,0,0,9,1,yok,yok,0,0,0,116,180000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,1,0,1,0,istanbul,marmara,2019,60,var,145,4,0,0,0,1,5,2,yok,yok,0,0,0,88,30000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,denizli,ege,2020,60,yok,0,0,0,0,0,0,5,1,yok,yok,0,0,0,266,7500,başarısız
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,1,0,istanbul,marmara,2020,60,yok,57,3,0,0,0,0,0,3,var,var,2,2,4,264,1,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,tekirdağ,marmara,2020,30,var,160,26,1,2,0,0,4,2,yok,var,1,52,5,407,30000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,izmir,ege,2020,20,var,24,0,2,0,0,0,6,1,yok,var,4,324,0,326,3000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,samsun,karadeniz,2019,60,yok,0,3,0,0,0,0,4,1,yok,yok,0,0,0,260,63000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,4,0,ankara,iç anadolu,2014,40,yok,0,2,0,0,0,0,5,1,yok,var,1,13,0,211,3000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,sakarya,marmara,2019,60,var,71,13,0,0,0,1,5,2,yok,var,2,44,0,749,20000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,bursa,marmara,2019,35,yok,0,0,0,0,0,0,10,1,yok,var,1,2,5,319,16000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,1,belirsiz,belirsiz,2019,60,yok,0,4,0,0,0,0,3,1,yok,yok,0,0,0,90,25000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,niğde,iç anadolu,2019,1,var,300,2,0,0,0,3,7,2,yok,var,3,808,4,805,70000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,1,belirsiz,belirsiz,2019,60,yok,0,4,0,0,0,0,3,1,yok,yok,0,0,0,110,11000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2020,30,var,52,8,0,1,0,1,6,1,var,yok,0,0,5,396,2000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2019,30,yok,0,1,0,0,0,0,8,1,yok,yok,0,0,5,526,25000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2020,60,var,31,3,0,0,0,0,4,1,yok,var,1,1,0,220,5000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2020,74,var,111,5,0,0,0,0,8,2,yok,var,2,1893,5,560,57500,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,mardin,güneydoğu,2020,60,var,66,2,1,0,0,3,6,1,var,yok,0,0,0,505,77700,başarısız
fongogo,ödül,diğer,hepsi kalsın,belirsiz,0,0,1,0,ankara,iç anadolu,2020,30,var,111,1,0,1,0,3,7,1,var,var,3,9222,0,201,60000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,erkek,0,0,1,0,adana,akdeniz,2019,6,var,26,2,0,0,0,0,3,1,yok,yok,0,0,3,135,1000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,1,0,izmir,ege,2020,60,var,32,5,0,0,0,2,3,2,yok,var,2,344,0,598,50000,başarısız
fongogo,ödül,diğer,ya hep ya hiç,kadın,0,0,2,0,istanbul,marmara,2020,60,var,26,0,0,0,0,0,5,1,yok,var,3,32,0,142,2500,başarısız
fongogo,ödül,çevre,ya hep ya hiç,belirsiz,0,0,1,0,çanakkale,marmara,2020,59,var,176,1,1,0,5,671,8,1,yok,yok,0,0,0,378,200000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,4,muğla,ege,2016,31,var,95,12,0,14,0,111,9,3,var,var,1,7000,5,206,25000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,1,0,1,0,istanbul,marmara,2019,60,var,151,1,0,0,0,350,8,1,var,yok,0,0,4,432,22714,başarılı
fongogo,ödül,çevre,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2020,60,var,77,5,0,0,3,106,5,2,var,var,2,1658,5,342,20000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,belirsiz,0,0,1,0,istanbul,marmara,2016,46,yok,0,20,0,6,0,105,8,4,yok,var,2,1068,0,517,20000,başarılı
fongogo,ödül,çevre,hepsi kalsın,belirsiz,0,0,1,0,istanbul,marmara,2015,46,var,65,21,0,2,0,84,8,3,var,var,3,7981,0,290,14000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,2,0,1,0,antalya,akdeniz,2020,60,var,191,17,0,0,0,64,6,1,var,var,1,11000,0,724,13000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,1,0,1,0,istanbul,marmara,2020,13,var,92,8,0,0,0,70,6,1,yok,var,1,46,0,142,6700,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,antalya,akdeniz,2020,60,var,162,8,0,0,0,73,8,5,var,var,3,2791,5,145,5000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2020,60,var,78,4,0,0,0,49,5,1,yok,yok,0,0,0,145,5000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2019,40,var,213,2,0,0,0,52,6,1,var,yok,0,0,5,269,3750,başarılı
fongogo,ödül,çevre,ya hep ya hiç,belirsiz,0,0,1,0,ankara,iç anadolu,2018,45,var,185,12,0,3,0,54,9,1,yok,var,3,4600,5,152,3500,başarılı
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2019,14,var,128,1,0,0,0,19,6,1,var,var,1,35600,5,540,3000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,erkek,1,0,1,0,istanbul,marmara,2014,50,var,61,5,0,0,0,23,5,1,var,var,2,10539,0,160,2000,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2018,20,var,73,2,0,0,0,9,3,1,yok,var,1,150,0,214,1200,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,denizli,ege,2014,41,var,30,6,0,0,0,12,6,2,var,var,2,2512,0,258,600,başarılı
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,tokat,karadeniz,2019,60,var,62,8,0,0,0,2,8,2,var,var,2,14,0,376,10000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,izmir,ege,2014,40,var,99,4,0,0,0,2,3,1,yok,yok,0,0,0,259,500,başarısız
fongogo,ödül,çevre,hepsi kalsın,kadın,0,0,1,0,manisa,ege,2016,60,var,224,12,0,0,0,93,9,2,var,var,2,2451,5,604,32500,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,muğla,ege,2019,60,var,96,3,0,0,0,50,7,4,yok,var,1,35,6,467,22000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,batman,güneydoğu,2016,30,yok,0,4,0,0,0,3,6,1,yok,var,2,4,0,154,1000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,sakarya,marmara,2017,45,var,152,2,0,0,0,16,9,3,var,yok,0,0,5,542,12000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,antalya,akdeniz,2019,20,yok,0,3,0,0,0,5,4,2,yok,var,1,2720,0,141,7000,başarısız
fongogo,ödül,çevre,hepsi kalsın,belirsiz,0,0,2,0,çanakkale,marmara,2017,2,yok,0,10,0,0,0,2,3,2,yok,var,2,14896,5,312,2700,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,konya,iç anadolu,2014,60,yok,0,4,0,0,0,1,3,1,yok,yok,0,0,0,211,1000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,1,0,1,0,muğla,ege,2018,27,var,157,10,0,0,0,6,9,2,var,var,2,335,4,399,19800,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2020,60,var,130,2,0,0,0,8,5,1,var,var,4,443,5,222,20000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,belirsiz,0,0,1,0,kocaeli,marmara,2020,88,yok,0,2,0,0,0,4,8,1,yok,yok,0,0,0,124,6000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,1,0,1,0,muğla,ege,2016,20,var,224,2,0,0,0,2,6,1,yok,var,2,108,0,239,1000,başarısız
fongogo,ödül,çevre,hepsi kalsın,kadın,0,0,1,0,çanakkale,marmara,2015,26,var,182,9,0,1,0,3,5,1,yok,yok,0,0,0,1153,10000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,izmir,ege,2020,74,var,244,5,0,0,0,5,9,2,yok,var,1,69,5,948,24000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,samsun,karadeniz,2018,60,var,230,4,0,0,0,10,6,1,yok,yok,0,0,5,176,30000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,1,belirsiz,belirsiz,2020,60,yok,0,3,0,0,0,1,5,1,yok,yok,0,0,0,120,25000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,4,0,1,0,bursa,marmara,2020,60,var,112,5,0,0,0,7,9,1,yok,var,1,443,5,464,50000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,yozgat,iç anadolu,2019,45,yok,0,2,0,1,0,0,8,1,yok,yok,0,0,5,121,5000,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,0,0,1,0,izmir,ege,2019,41,yok,73,0,0,0,0,1,6,2,yok,yok,0,0,5,720,7500,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,denizli,ege,2014,60,yok,0,4,0,0,0,0,3,1,yok,yok,0,0,0,356,10000,başarısız
fongogo,ödül,çevre,hepsi kalsın,erkek,0,0,1,0,eskişehir,iç anadolu,2019,90,var,50,1,0,0,0,0,3,4,yok,yok,0,0,4,113,26500,başarısız
fongogo,ödül,çevre,ya hep ya hiç,erkek,1,0,1,0,antalya,akdeniz,2020,60,var,112,5,0,0,0,1,5,1,yok,yok,0,0,5,614,16500,başarısız
fongogo,ödül,çevre,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2014,60,yok,0,12,0,0,0,0,6,1,var,yok,0,0,0,299,5000,başarısız
fongogo,ödül,dans-performans,hepsi kalsın,belirsiz,0,0,1,0,istanbul,marmara,2020,8,var,39,6,0,0,0,48,5,1,var,var,3,534300,0,259,5000,başarılı
fongogo,ödül,dans-performans,ya hep ya hiç,kadın,2,0,1,0,sakarya,marmara,2020,60,yok,0,2,0,0,0,112,7,3,yok,yok,0,0,3,132,35000,başarısız
fongogo,ödül,dans-performans,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2014,60,var,107,3,0,0,0,3,6,2,var,yok,0,0,0,854,5000,başarısız
fongogo,ödül,dans-performans,hepsi kalsın,erkek,0,0,1,0,istanbul,marmara,2020,60,var,59,3,0,0,0,0,5,2,yok,var,1,3631,0,107,10000,başarısız
fongogo,ödül,dans-performans,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2019,60,var,61,7,0,0,0,1,6,1,var,var,1,1077,5,506,16000,başarısız
fongogo,ödül,dans-performans,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2019,60,var,65,8,0,0,0,2,6,2,var,yok,0,0,5,463,75000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,kadın,0,0,1,0,istanbul,marmara,2019,41,var,196,3,0,1,0,178,8,1,var,var,2,1113,5,695,75000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,kadın,4,0,3,0,istanbul,marmara,2020,30,var,307,3,3,3,0,179,8,1,var,var,3,9168,5,905,50000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,kadın,4,0,3,0,istanbul,marmara,2018,30,var,141,13,0,4,0,180,5,1,yok,yok,0,0,5,488,50000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,erkek,1,0,1,0,istanbul,marmara,2020,30,var,88,3,0,0,0,59,7,1,var,var,3,377,5,499,35000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,erkek,0,0,1,0,istanbul,marmara,2020,60,var,110,1,0,1,0,153,9,1,var,var,4,1150,0,594,271000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,kadın,1,0,1,0,bursa,marmara,2019,47,yok,0,5,0,4,0,55,9,2,yok,var,3,1123,5,1555,35000,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,kadın,0,0,1,0,ankara,iç anadolu,2020,60,var,224,13,0,3,0,66,9,1,var,var,2,2228,0,1040,75000,başarısız
fongogo,ödül,eğitim,ya hep ya hiç,kadın,0,0,1,0,eskişehir,iç anadolu,2020,29,var,162,4,0,0,0,63,7,1,yok,var,2,340,2,710,31851,başarılı
fongogo,ödül,eğitim,ya hep ya hiç,erkek,0,0,1,0,ankara,iç anadolu,2019,32,var,204,3,0,0,0,27,8,1,yok,var,2,500,5,980,29812,başarılı
